Year,Land,Land and Ocean,N Hem,S Hem,Band 1,Band 2,Band 3
1880,-0.43,-0.21,-0.33,-0.09,,,
1881,-0.34,-0.13,-0.22,-0.03,,,
1882,-0.28,-0.16,-0.24,-0.07,,,
1883,-0.28,-0.19,-0.29,-0.08,,,
1884,-0.57,-0.27,-0.41,-0.12,,,
1885,-0.46,-0.25,-0.35,-0.15,,,
1886,-0.57,-0.24,-0.33,-0.14,,,
1887,-0.66,-0.31,-0.33,-0.29,,,
1888,-0.40,-0.19,-0.20,-0.19,,,
1889,-0.20,-0.10,-0.11,-0.09,,,
1890,-0.57,-0.33,-0.36,-0.30,,,
1891,-0.61,-0.27,-0.26,-0.27,,,
1892,-0.52,-0.31,-0.36,-0.26,,,
1893,-0.54,-0.36,-0.41,-0.30,,,
1894,-0.43,-0.32,-0.35,-0.30,,,
1895,-0.35,-0.25,-0.27,-0.22,,,
1896,-0.32,-0.17,-0.22,-0.13,,,
1897,-0.24,-0.18,-0.18,-0.18,,,
1898,-0.42,-0.31,-0.30,-0.32,,,
1899,-0.35,-0.20,-0.19,-0.21,,,
1900,-0.17,-0.15,-0.10,-0.20,-0.16,-0.01,-0.33
1901,-0.17,-0.21,-0.12,-0.29,-0.11,-0.16,-0.37
1902,-0.36,-0.30,-0.32,-0.28,-0.45,-0.16,-0.34
1903,-0.40,-0.36,-0.33,-0.39,-0.39,-0.32,-0.39
1904,-0.52,-0.44,-0.42,-0.45,-0.42,-0.47,-0.40
1905,-0.35,-0.29,-0.28,-0.31,-0.34,-0.19,-0.39
1906,-0.24,-0.26,-0.22,-0.31,-0.20,-0.26,-0.32
1907,-0.54,-0.42,-0.48,-0.37,-0.55,-0.38,-0.34
1908,-0.39,-0.43,-0.44,-0.43,-0.42,-0.50,-0.35
1909,-0.40,-0.47,-0.44,-0.49,-0.44,-0.50,-0.44
1910,-0.33,-0.46,-0.44,-0.47,-0.38,-0.54,-0.42
1911,-0.36,-0.44,-0.39,-0.49,-0.34,-0.46,-0.51
1912,-0.35,-0.41,-0.48,-0.33,-0.57,-0.28,-0.42
1913,-0.34,-0.39,-0.46,-0.32,-0.41,-0.39,-0.37
1914,-0.09,-0.22,-0.21,-0.23,-0.22,-0.17,-0.30
1915,-0.07,-0.16,-0.12,-0.20,-0.18,-0.07,-0.25
1916,-0.28,-0.35,-0.36,-0.35,-0.28,-0.45,-0.30
1917,-0.48,-0.43,-0.51,-0.35,-0.43,-0.57,-0.25
1918,-0.41,-0.31,-0.36,-0.26,-0.35,-0.34,-0.24
